ID,nuc_cov,sd_nuc_cov,mito_cov,wb_cov
AUS_BNE_AD_001,48.517942519774,10.858942591001,13835,2916.63
AUS_BNE_AD_002,134.19171051977,37.803825401211,21273.9,341.083
AUS_BNE_AD_003,102.25393332203,28.190675310781,23239.8,777.314
AUS_BNE_AD_003_R,73.176023785311,21.083816197414,22018,1050.95
AUS_BNE_AD_004,100.79641752542,21.064969130698,566.638,9.19503
AUS_BNE_AD_005,1.4189113107345,0.42534273591919,4010.77,576.375
AUS_BNE_AD_006,87.851306960452,24.55241527332,3105.42,80.3496
AUS_BNE_AD_008,82.836712949153,23.583708561719,22358,349.167
AUS_BNE_AD_009,87.168895615819,21.82359481552,2139.98,91.9688
AUS_CNS_AD_001,81.648517615819,19.371841918722,4949.82,947.191
AUS_CNS_AD_002,49.667823118644,14.268253710455,10290.3,2828.94
AUS_LHR_AD_001,88.478919751412,26.679106940726,3020.61,91.5534
AUS_ROK_AD_001,59.976652033898,22.045746909833,30877.7,1950.33
AUS_SYD_AD_001,8.7891596045198,2.8864389679117,3463.43,125.127
AUS_SYD_AD_002,9.4647661468927,2.9710855717572,4805.24,2.16393
AUS_SYD_AD_003,78.211616056497,24.75398602766,12693.7,231.322
AUS_SYD_AD_004,89.609955457627,20.327610881211,1955.62,165.918
AUS_SYD_AD_005,88.22402899435,20.031458480904,6946.5,464.783
AUS_SYD_AD_005_R,85.054836033898,19.188865539342,5445.84,219.301
AUS_SYD_AD_006,88.08515300565,27.561062120103,5216.98,220.013
AUS_SYD_AD_007,17.52782559322,6.3681664034046,1851.27,45.4022
AUS_SYD_AD_008,80.452567491525,27.305041949301,7716.9,756.746
AUS_SYD_AD_008_R,82.117615954802,26.71091072471,17579.7,695.725
AUS_SYD_AD_009,70.211434214689,29.634230378439,4800.61,825.405
AUS_SYD_AD_010,21.385044576271,6.906469088413,29578.6,7995.61
AUS_SYD_AD_011,23.886199355932,6.5432873247891,27250.1,6586.74
AUS_SYD_AD_012,29.311221661017,7.9543374925315,37070.6,6055.62
AUS_SYD_AD_013,101.50039752542,29.164464591563,6070.46,1152.32
AUS_SYD_AD_014,73.154505740113,22.65848073729,12272.1,819.4
AUS_SYD_AD_015,30.288142881356,8.5274482317046,21337.7,5194.87
AUS_SYD_AD_016,0.071048978644068,0.026301151285908,229.105,35.8332
AUS_SYD_AD_017,9.971749220339,2.8173674763987,4703.63,324.897
AUS_TVS_AD_001,84.638881175141,19.926403207897,2322.88,63.4135
AUS_TVS_AD_002,114.9143799096,27.500914061876,4394.89,232.132
AUS_TVS_AD_003,92.970259853107,21.344588756432,2490.2,50.7963
AUS_TVS_AD_004,99.771677570621,23.068674549075,2921,120.254
AUS_TVS_AD_005,104.07198787571,29.101680251904,25459.4,962.63
AUS_TVS_AD_006,93.107828485876,26.713335241667,20143.4,834.894
AUS_TVS_AD_007,76.823958870056,18.434298946266,2238.97,59.9017
AUS_TVS_AD_008,89.24165839548,21.431059822859,2596.09,67.2979
AUS_TVS_AD_009,2.3575452090395,0.64787156847087,2800.19,520.324
AUS_TVS_AD_010,59.608977706215,18.140923890092,21733.9,1374.22
AUS_TVS_AD_011,87.471111502825,26.272241919042,23906.3,884.259
AUS_TVS_AD_012,88.454793367232,29.037964101508,3044.52,146.408
AUS_TVS_AD_013,101.41480089266,24.39717324119,5935.37,177.355
AUS_TVS_AD_014,93.622018259887,23.300749716047,6457.01,141.775
AUS_TVS_AD_015,102.70107929944,23.924129786034,3135.75,140.634
AUS_TVS_AD_016,106.52656545763,26.369641993933,7442.3,18.1673
AUS_TVS_AD_017,43.895567186441,11.379550535863,29451.6,5031.55
AUS_TVS_AD_018,107.08533041808,25.02841582964,4228.63,42.2474
AUS_TVS_AD_019,98.24907279096,23.456744528909,3710.9,158.41
CRI_SJO_AD_001,52.336139898305,17.607714349461,21093.4,344.065
GRC_XAN_AD_001,50.310191853107,14.624661309767,16037.6,1640.55
GRC_XAN_AD_002,83.613358418079,18.558259422586,15184.3,1256.62
GRC_XAN_AD_003,85.666651220339,27.39617954574,2660.88,205.761
GRC_XAN_AD_004,63.339936112994,14.084399073656,19897.4,2261.45
GRC_XAN_AD_005,101.31272891525,22.177378004254,1841.27,52.4106
GRC_XAN_AD_006,70.62568880226,18.725154686006,27673.3,1276.94
GRC_XAN_AD_007,102.79104937853,23.96937670746,2465.91,31.0586
GRC_XAN_AD_008,106.83186889266,24.799223791976,819.489,14.0368
GRC_XAN_AD_009,8.7843128587571,2.9991232651395,29503.4,3476.68
GRC_XAN_AD_010,102.84383989831,23.705698713681,28.0027,3.8192
GRC_XAN_AD_011,97.15419220339,23.21919521239,23.7146,1.40639
GRC_XAN_AD_012,85.48323559322,23.456058031695,138.201,4.07189
ITA_NEA_AD_001,55.472684881356,15.674741380191,27240.7,1741.1
ITA_NEA_AD_002,74.60608680226,25.069208699207,10031.5,109.518
ITA_NEA_AD_003,72.851912655367,24.721346173199,17759,251.251
ITA_NEA_AD_004,0.023271343118644,0.049918746989827,597.042,3.23403
ITA_NEA_AD_005,0.03825740319774,0.050339941295108,524.052,1.62977
ITA_PAV_AD_001,10.253435570621,2.4919553459508,212.12,14.4163
MYS_SEL_AD_001,15.792372621469,4.6016449692334,1315.84,0.69295
MYS_SEL_AD_001_R,0.10529120519774,0.03512491053217,75.034,0.271111
PAN_BOC_AD_001,86.665091502825,21.258167311521,3650.9,1.14013
PAN_BOC_AD_002,51.922961480226,17.513531752037,24590.6,1491.98
PAN_BOC_AD_003,81.996374644068,22.736521183379,3158,1.23714
PAN_BOC_AD_004,78.654361096045,23.180985416348,13884.6,248.128
PAN_BOC_AD_005,125.4697419887,38.645216452616,60221.2,974.967
PAN_PUE_AD_001,74.984101175141,22.585320936259,11396.6,248.872
PAN_PUE_AD_002,90.615172485876,22.763525030533,2826.5,53.9066
PAN_PUE_AD_003,85.541921502825,23.034033951116,2359.17,51.4493
PAN_PUE_AD_004,74.280951943503,25.609037017126,21660.2,422.348
PAN_PUE_AD_004_R,104.30957859887,36.346679823242,4972.98,52.0688
PAN_PUE_AD_005,85.841206949153,21.897807703524,2312.72,52.1575
PAN_PUE_AD_006,82.406249728814,19.373747787158,5235.47,113.721
PAN_SLO_AD_001,80.128167073446,27.039117203368,20987.6,223.09
PAN_SLO_AD_002,79.420666429379,19.874264939304,4633.56,89.8276
PAN_SLO_AD_003,50.566240056497,13.831577969367,39227.2,2216.14
ROU_BUC_AD_001,40.886176327684,8.6959500569005,20111.1,4333.28
ROU_COM_AD_001,65.297469186441,23.989803693643,334.016,0.663823
ROU_GIU_AD_001,74.510512259887,20.994101590135,35232.3,71.9654
ROU_GIU_AD_001_R,33.672669661017,8.9784210371952,2939.63,0.192127
THA_BKK_AD_001,90.976332587571,29.000511193035,17301.8,42.3597
THA_BKK_AD_002,101.71152158192,24.358528570846,7113.72,16.7447
THA_BKK_AD_003,82.654259683616,23.338477700971,25725.6,56.1514
THA_BKK_AD_004,83.283255028249,18.708461000348,4178.11,4.95694
THA_BKK_AD_005,93.556619536723,26.131762043276,7682.07,30.8008
THA_BKK_AD_006,82.06364639548,17.026741477469,8478.85,67.0652
USA_FLO_AD_001,31.850727288136,10.396193507159,39463.4,2427.59
USA_FLO_AD_002,44.669167762712,10.964295915598,22413.2,4830.25
USA_FLO_AD_003,101.05253446328,25.322670350293,37334.4,1055.25
USA_FLO_AD_004,110.31813529944,25.700574866059,1929.73,111.388
USA_FLO_AD_005,101.23994424859,27.856339094104,10778.5,228.916
USA_FLO_AD_006,108.51347228249,24.549259416755,2852.25,99.2321
USA_FLO_AD_007,24.245225163842,6.2531573459476,23548.4,5980.55
USA_FLO_AD_008,113.71218332203,25.047464152487,1106.33,31.2623
USA_FLO_AD_009,110.51621689266,23.615428290444,2568.33,73.247
USA_FLO_AD_010,113.35914181921,26.810522307692,8820.4,78.0496
USA_FLO_AD_011,123.04592253107,28.739573245181,7620.34,248.622
USA_FLO_AD_012,102.36663359322,25.135589696356,5917.27,1260.9
USA_FLO_AD_013,65.32461820339,16.070773642569,35916.8,2429.58
USA_FLO_AD_014,56.715210169492,13.367394950816,20472.4,5130.31
USA_FLO_AD_015,71.77049580791,17.202115129277,51950.7,715.938
USA_FLO_AD_016,92.442088858757,24.151060968247,2112.89,100.798
USA_GEO_AD_001,27.801129310734,8.0200396676575,6956.31,872.292
USA_ILL_AD_001,53.558570677966,21.900690953408,16178,3775.13
USA_ILL_AD_002,30.305080079096,7.5284929079431,26782.7,6756.14
USA_LOU_AD_001,53.712256768362,14.132637867079,26600,4657.61
USA_LOU_AD_002,102.11457273446,31.952923392539,13697.2,401.022
USA_MIS_AD_001,77.914344497175,23.559364093511,21406.4,415.846
USA_MIS_AD_002,117.18138291525,32.872792028122,1770.63,93.263
USA_TEX_AD_001,27.542371107345,8.6212220101285,23373,5243.42
USA_TEX_AD_002,44.945901457627,13.272264457841,24652.9,6111.71
USA_TEX_AD_003,95.289874757062,22.315150895473,4264.2,68.5187
USA_TEX_AD_004,110.68639235028,24.935752601567,2878.88,70.2308
USA_TEX_AD_005,110.56041934463,24.167600665494,2708.8,28.8012
USA_TEX_AD_006,96.087218983051,30.044520648526,25230.4,89.9796
USA_TEX_AD_007,112.60097035028,26.591322588022,2281.46,7.63363
USA_TEX_AD_008,116.53181296045,34.739291788066,9700.04,29.8291
USA_TEX_AD_009,113.02223144633,28.040479759675,2897.24,14.1865
USA_TEX_AD_010,105.62200833898,31.186318423149,19862,220.586
USA_TEX_AD_011,99.085092384181,28.755474740404,32333,522.467
USA_TEX_AD_012,70.990455819209,17.061770848973,33480.7,476.54
USA_TEX_AD_013,50.06853359322,14.878051360727,36055.8,4543.63
USA_TEX_AD_014,101.13492789831,30.386336063494,24700.5,164.1
USA_TEX_AD_015,87.010514112994,27.407091506394,27283.8,466.49
USA_WIS_AD_001,6.7126829932203,4.9112456484369,2891.09,90.2026
VNM_HAI_AD_001,0.067022867683616,0.044726246618981,183.813,15.3997
VNM_HAN_AD_001,0.39147408701695,1.4143182357317,9370.16,1518.69
